iter	Passed	Remaining
412	3729	5300
413	3737	5290
414	3746	5281
415	3755	5271
416	3764	5263
417	3772	5253
418	3782	5244
419	3790	5234
420	3799	5225
421	3808	5216
422	3816	5206
423	3826	5198
424	3834	5188
425	3843	5179
426	3851	5168
427	3862	5161
428	3870	5151
429	3878	5140
430	3886	5130
431	3896	5122
432	3904	5113
433	3914	5104
434	3924	5096
435	3934	5088
436	3941	5077
437	3948	5066
438	3957	5057
439	3967	5050
440	3977	5041
441	3985	5031
442	3995	5023
443	4004	5014
444	4012	5003
445	4021	4995
446	4032	4988
447	4042	4981
448	4053	4973
449	4061	4964
450	4071	4955
451	4080	4947
452	4091	4940
453	4099	4930
454	4109	4921
455	4118	4913
456	4127	4904
457	4136	4894
458	4145	4885
459	4154	4877
460	4163	4867
461	4170	4857
462	4180	4848
463	4188	4838
464	4198	4830
465	4208	4822
466	4216	4812
467	4224	4801
468	4233	4793
469	4243	4785
470	4256	4780
471	4266	4772
472	4274	4762
473	4282	4752
474	4290	4742
475	4300	4734
476	4310	4726
477	4320	4717
478	4328	4708
479	4338	4699
480	4347	4690
481	4356	4681
482	4366	4674
483	4375	4665
484	4386	4657
485	4395	4648
486	4403	4639
487	4413	4630
488	4421	4620
489	4431	4612
490	4441	4604
491	4450	4595
492	4459	4586
493	4473	4582
494	4487	4577
495	4499	4572
496	4518	4573
497	4527	4564
498	4539	4557
499	4549	4549
500	4556	4538
501	4566	4530
502	4575	4520
503	4583	4511
504	4592	4501
505	4599	4490
506	4609	4481
507	4618	4473
508	4627	4463
509	4636	4454
510	4646	4446
511	4654	4436
512	4664	4428
513	4673	4419
514	4682	4409
515	4692	4401
516	4700	4391
517	4710	4382
518	4718	4373
519	4727	4364
520	4735	4354
521	4744	4344
522	4754	4335
523	4762	4326
524	4771	4316
525	4780	4307
526	4789	4298
527	4799	4290
528	4808	4280
529	4816	4270
530	4824	4261
531	4834	4252
532	4843	4243
533	4852	4234
534	4862	4225
535	4872	4218
536	4882	4209
537	4891	4200
538	4899	4190
539	4909	4181
540	4920	4174
541	4931	4166
542	4941	4158
543	4950	4149
544	4958	4140
545	4967	4130
546	4977	4122
547	4987	4113
548	4997	4105
549	5009	4098
550	5016	4087
551	5024	4077
552	5033	4068
553	5043	4060
554	5052	4050
555	5060	4041
556	5069	4031
557	5077	4021
558	5085	4012
559	5096	4004
560	5105	3994
561	5113	3985
562	5121	3975
563	5131	3966
564	5140	3957
565	5149	3948
566	5158	3939
567	5166	3929
568	5173	3918
569	5182	3909
570	5190	3899
571	5199	3890
572	5209	3881
573	5217	3872
574	5225	3862
575	5233	3852
576	5242	3843
577	5250	3833
578	5260	3825
579	5269	3816
580	5278	3806
581	5286	3796
582	5295	3787
583	5303	3778
584	5312	3768
585	5321	3759
586	5330	3750
587	5339	3741
588	5347	3731
589	5355	3721
590	5363	3711
591	5371	3702
592	5382	3694
593	5392	3685
594	5401	3676
595	5410	3667
596	5419	3658
597	5427	3648
598	5437	3640
599	5445	3630
600	5455	3621
601	5463	3611
602	5471	3602
603	5480	3593
604	5489	3584
605	5499	3575
606	5508	3566
607	5519	3558
608	5527	3549
609	5536	3539
610	5544	3530
611	5553	3520
612	5562	3511
613	5571	3502
614	5580	3493
615	5589	3484
616	5598	3475
617	5610	3467
618	5619	3458
619	5627	3449
620	5636	3439
621	5645	3430
622	5653	3421
623	5661	3411
624	5670	3402
625	5680	3393
626	5688	3384
627	5698	3375
628	5707	3366
629	5716	3357
630	5725	3348
631	5734	3339
632	5745	3330
633	5754	3321
634	5762	3312
635	5770	3302
636	5779	3293
637	5788	3284
638	5797	3275
639	5807	3266
640	5817	3258
641	5826	3249
642	5836	3240
643	5845	3231
644	5854	3222
645	5861	3211
646	5870	3202
647	5880	3194
648	5888	3184
649	5896	3175
650	5906	3166
651	5915	3157
652	5924	3148
653	5934	3139
654	5943	3130
655	5951	3121
656	5960	3111
657	5970	3103
658	5979	3094
659	5988	3085
660	5998	3076
661	6006	3066
662	6014	3057
663	6022	3047
664	6031	3038
665	6041	3029
666	6049	3020
667	6058	3011
668	6066	3001
669	6074	2992
670	6085	2983
671	6094	2974
672	6104	2965
673	6113	2957
674	6122	2947
675	6129	2937
676	6139	2929
677	6147	2919
678	6156	2910
679	6164	2901
680	6174	2892
681	6182	2882
682	6191	2873
683	6200	2864
684	6209	2855
685	6217	2846
686	6226	2836
687	6236	2827
688	6246	2819
689	6254	2810
690	6263	2801
691	6271	2791
692	6279	2781
693	6288	2772
694	6297	2763
695	6306	2754
696	6317	2746
697	6326	2737
698	6335	2728
699	6344	2718
700	6353	2710
701	6364	2701
702	6375	2693
703	6384	2684
704	6394	2675
705	6403	2666
706	6412	2657
707	6421	2648
708	6429	2639
709	6440	2630
710	6451	2622
711	6460	2613
712	6470	2604
713	6482	2596
714	6491	2587
715	6500	2578
716	6508	2569
717	6517	2559
718	6524	2550
719	6533	2540
720	6540	2531
721	6549	2521
722	6559	2513
723	6568	2503
724	6578	2495
725	6588	2486
726	6597	2477
727	6607	2468
728	6617	2460
729	6626	2450
730	6635	2441
731	6643	2432
732	6652	2423
733	6661	2414
734	6671	2405
735	6681	2396
736	6689	2387
737	6697	2377
738	6706	2368
739	6717	2360
740	6726	2351
741	6735	2341
742	6745	2333
743	6755	2324
744	6763	2314
745	6771	2305
746	6780	2296
747	6789	2287
748	6797	2278
749	6807	2269
750	6816	2259
751	6825	2250
752	6833	2241
753	6842	2232
754	6851	2223
755	6860	2214
756	6870	2205
757	6879	2196
758	6890	2187
759	6900	2178
760	6909	2169
761	6917	2160
762	6926	2151
763	6934	2142
764	6942	2132
765	6952	2123
766	6961	2114
767	6972	2106
768	6981	2097
769	6991	2088
770	7000	2079
771	7009	2070
772	7018	2060
773	7029	2052
774	7038	2043
775	7049	2034
776	7058	2025
777	7068	2016
778	7078	2008
779	7088	1999
780	7096	1989
781	7104	1980
782	7113	1971
783	7121	1961
784	7129	1952
785	7138	1943
786	7147	1934
787	7156	1925
788	7167	1916
789	7176	1907
790	7186	1898
791	7195	1889
792	7204	1880
793	7214	1871
794	7221	1862
795	7229	1852
796	7237	1843
797	7246	1834
798	7255	1825
799	7263	1815
800	7272	1806
801	7281	1797
802	7289	1788
803	7298	1779
804	7307	1770
805	7316	1761
806	7325	1752
807	7333	1742
808	7343	1733
809	7351	1724
810	7360	1715
811	7368	1706
812	7377	1696
813	7387	1688
814	7396	1678
815	7405	1669
816	7413	1660
817	7422	1651
818	7430	1642
819	7439	1632
820	7447	1623
821	7455	1614
822	7464	1605
823	7472	1596
824	7480	1586
825	7489	1577
826	7497	1568
827	7506	1559
828	7515	1550
829	7524	1541
830	7532	1531
831	7541	1522
832	7549	1513
833	7558	1504
834	7567	1495
835	7576	1486
836	7585	1477
837	7593	1468
838	7601	1458
839	7610	1449
840	7618	1440
841	7627	1431
842	7637	1422
843	7645	1413
844	7654	1404
845	7662	1394
846	7672	1385
847	7680	1376
848	7688	1367
849	7697	1358
850	7707	1349
851	7715	1340
852	7723	1331
853	7732	1321
854	7740	1312
855	7749	1303
856	7759	1294
857	7768	1285
858	7777	1276
859	7785	1267
860	7793	1258
861	7800	1248
862	7809	1239
863	7818	1230
864	7827	1221
865	7837	1212
866	7847	1203
867	7857	1194
868	7865	1185
869	7875	1176
870	7884	1167
871	7892	1158
872	7902	1149
873	7911	1140
874	7920	1131
875	7930	1122
876	7939	1113
877	7949	1104
878	7957	1095
879	7967	1086
880	7975	1077
881	7984	1068
882	7996	1059
883	8006	1050
884	8016	1041
885	8025	1032
886	8034	1023
887	8042	1014
888	8052	1005
889	8060	996
890	8068	987
891	8076	977
892	8087	969
893	8098	960
894	8106	951
895	8115	941
896	8123	932
897	8134	923
898	8142	914
899	8151	905
900	8160	896
901	8169	887
902	8178	878
903	8187	869
904	8195	860
905	8206	851
906	8217	842
907	8225	833
908	8234	824
909	8244	815
910	8254	806
911	8264	797
912	8272	788
913	8281	779
914	8291	770
915	8299	761
916	8308	752
917	8318	743
918	8327	733
919	8335	724
920	8345	715
921	8353	706
922	8362	697
923	8372	688
924	8380	679
925	8390	670
926	8399	661
927	8410	652
928	8419	643
929	8428	634
930	8437	625
931	8445	616
932	8454	607
933	8463	598
934	8472	588
935	8481	579
936	8490	570
937	8499	561
938	8509	552
939	8518	543
940	8527	534
941	8536	525
942	8544	516
943	8553	507
944	8562	498
945	8570	489
946	8578	480
947	8587	471
948	8595	461
949	8603	452
950	8612	443
951	8621	434
952	8631	425
953	8640	416
954	8648	407
955	8656	398
956	8666	389
957	8673	380
958	8683	371
959	8691	362
960	8701	353
961	8708	343
962	8718	334
