iter	RMSE
0	0.8387793377
1	0.730736985
2	0.6379252308
3	0.5576200554
4	0.4883817126
5	0.4279775089
6	0.3759304383
7	0.3314215678
8	0.2929680711
9	0.2602429382
10	0.2320583557
11	0.2075612059
12	0.1865511802
13	0.1681656315
14	0.1527136767
15	0.1391550267
16	0.1277996048
17	0.1182831103
18	0.1104768588
19	0.1040270012
20	0.09859975779
21	0.09359976805
22	0.08967142159
23	0.08652283968
24	0.08357401308
25	0.08121393748
26	0.07939355524
27	0.07785181383
28	0.07639916753
29	0.07537613439
30	0.07442984919
31	0.07355275063
32	0.07295768461
33	0.07241141463
34	0.07184268452
35	0.07138782861
36	0.07100688572
37	0.07071204748
38	0.07034439704
39	0.07003031436
40	0.06978460211
41	0.06954228937
42	0.06936372166
43	0.06915488153
44	0.06899670703
45	0.06882784899
46	0.06858019669
47	0.06847049913
48	0.06832215559
49	0.06820255011
50	0.06799514268
51	0.06780391456
52	0.06763232628
53	0.06749688337
54	0.06741659443
55	0.06734658694
56	0.06716231198
57	0.06703959776
58	0.06685189217
59	0.06675077878
60	0.06663939927
61	0.06655757592
62	0.06647845563
63	0.06633687184
64	0.06624050422
65	0.06614218751
66	0.06603827708
67	0.06597445612
68	0.0658879969
69	0.06580838424
70	0.06572587652
71	0.06566841909
72	0.06558385196
73	0.06549588266
74	0.06538750556
75	0.0653351024
76	0.06523493604
77	0.06514802688
78	0.06505815646
79	0.06497826033
80	0.0649323716
81	0.0648840951
82	0.06481399832
83	0.06476858075
84	0.06466900132
85	0.06459006834
86	0.06450071752
87	0.06444657569
88	0.06439294793
89	0.06431650745
90	0.0642688987
91	0.06421954708
92	0.06416992396
93	0.06412574505
94	0.06404782271
95	0.06400140654
96	0.06394180811
97	0.06390004469
98	0.06385752663
99	0.06380946646
100	0.06376159334
101	0.06372856175
102	0.06367558506
103	0.06363155509
104	0.06357804427
105	0.06353320616
106	0.06348069206
107	0.06342419916
108	0.06339526985
109	0.06336214942
110	0.06331178579
111	0.06327050093
112	0.06323015723
113	0.06318473202
114	0.0631514107
115	0.06310082733
116	0.06305289789
117	0.06299616887
118	0.06294325477
119	0.0628990629
120	0.06286256702
121	0.0628278207
122	0.06279623981
123	0.06274998653
124	0.06271967499
125	0.06267991609
126	0.062658957
